Using device: cuda
GPU: NVIDIA L4
Memory: 23.7 GB
Model parameters: 1,848,333
Resuming from /home/trainer/checkpoints/checkpoint_epoch_027000.pt
Resumed at epoch 27000, loss=0.021644, energy=2.702607

============================================================
Starting training: epochs 27001 to 50000
Collocation points: 16,000
Checkpoint interval: 1000
============================================================

Epoch  31000 | Loss: 0.020068 | Physics: 0.018410 | Curl: 0.016582 | Energy: 2.695768 | Time: 0.93s | Elapsed: 1.04h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_031000.pt
Epoch  31100 | Loss: 0.017038 | Physics: 0.015391 | Curl: 0.016473 | Energy: 2.695613 | Time: 0.94s | Elapsed: 1.07h
Epoch  31200 | Loss: 0.016999 | Physics: 0.015322 | Curl: 0.016769 | Energy: 2.695447 | Time: 0.94s | Elapsed: 1.09h
Epoch  31300 | Loss: 0.011922 | Physics: 0.010229 | Curl: 0.016931 | Energy: 2.695266 | Time: 0.94s | Elapsed: 1.12h
Epoch  31400 | Loss: 0.021588 | Physics: 0.019958 | Curl: 0.016308 | Energy: 2.695130 | Time: 0.93s | Elapsed: 1.15h
Epoch  31500 | Loss: 0.022458 | Physics: 0.020849 | Curl: 0.016083 | Energy: 2.694979 | Time: 0.93s | Elapsed: 1.17h
Epoch  31600 | Loss: 0.015476 | Physics: 0.013871 | Curl: 0.016052 | Energy: 2.694821 | Time: 0.94s | Elapsed: 1.20h
Epoch  31700 | Loss: 0.016645 | Physics: 0.015052 | Curl: 0.015933 | Energy: 2.694667 | Time: 0.94s | Elapsed: 1.22h
Epoch  31800 | Loss: 0.017536 | Physics: 0.015898 | Curl: 0.016384 | Energy: 2.694496 | Time: 0.95s | Elapsed: 1.25h
Epoch  31900 | Loss: 0.011921 | Physics: 0.010286 | Curl: 0.016347 | Energy: 2.694314 | Time: 0.95s | Elapsed: 1.28h
Epoch  32000 | Loss: 0.019089 | Physics: 0.017429 | Curl: 0.016598 | Energy: 2.694123 | Time: 0.94s | Elapsed: 1.30h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_032000.pt
Epoch  32100 | Loss: 0.016959 | Physics: 0.015390 | Curl: 0.015683 | Energy: 2.694037 | Time: 0.94s | Elapsed: 1.33h
Epoch  32200 | Loss: 0.014028 | Physics: 0.012448 | Curl: 0.015795 | Energy: 2.693930 | Time: 0.95s | Elapsed: 1.35h
Epoch  32300 | Loss: 0.029241 | Physics: 0.027661 | Curl: 0.015803 | Energy: 2.693748 | Time: 0.94s | Elapsed: 1.38h
Epoch  32400 | Loss: 0.016884 | Physics: 0.015359 | Curl: 0.015253 | Energy: 2.693592 | Time: 0.95s | Elapsed: 1.41h
Epoch  32500 | Loss: 0.018248 | Physics: 0.016740 | Curl: 0.015088 | Energy: 2.693435 | Time: 0.93s | Elapsed: 1.43h
Epoch  32600 | Loss: 0.016143 | Physics: 0.014643 | Curl: 0.014999 | Energy: 2.693282 | Time: 0.94s | Elapsed: 1.46h
Epoch  32700 | Loss: 0.015449 | Physics: 0.013949 | Curl: 0.015001 | Energy: 2.693126 | Time: 0.95s | Elapsed: 1.48h
Epoch  32800 | Loss: 0.014560 | Physics: 0.013051 | Curl: 0.015100 | Energy: 2.692970 | Time: 0.94s | Elapsed: 1.51h
Epoch  32900 | Loss: 0.014807 | Physics: 0.013310 | Curl: 0.014961 | Energy: 2.692814 | Time: 0.94s | Elapsed: 1.54h
Epoch  33000 | Loss: 0.014199 | Physics: 0.012677 | Curl: 0.015224 | Energy: 2.692660 | Time: 0.95s | Elapsed: 1.56h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_033000.pt
Epoch  33100 | Loss: 0.013771 | Physics: 0.012257 | Curl: 0.015146 | Energy: 2.692495 | Time: 0.94s | Elapsed: 1.59h
Epoch  33200 | Loss: 0.011706 | Physics: 0.010205 | Curl: 0.015007 | Energy: 2.692300 | Time: 0.95s | Elapsed: 1.62h
Epoch  33300 | Loss: 0.005752 | Physics: 0.004249 | Curl: 0.015032 | Energy: 2.692080 | Time: 0.94s | Elapsed: 1.64h
Epoch  33400 | Loss: 0.014685 | Physics: 0.013177 | Curl: 0.015081 | Energy: 2.691896 | Time: 0.94s | Elapsed: 1.67h
Epoch  33500 | Loss: 0.022948 | Physics: 0.021425 | Curl: 0.015232 | Energy: 2.691752 | Time: 0.95s | Elapsed: 1.69h
Epoch  33600 | Loss: 0.025899 | Physics: 0.024407 | Curl: 0.014924 | Energy: 2.691618 | Time: 0.95s | Elapsed: 1.72h
Epoch  33700 | Loss: 0.023442 | Physics: 0.021930 | Curl: 0.015125 | Energy: 2.691469 | Time: 0.93s | Elapsed: 1.75h
Epoch  33800 | Loss: 0.020308 | Physics: 0.018846 | Curl: 0.014623 | Energy: 2.691323 | Time: 0.94s | Elapsed: 1.77h
Epoch  33900 | Loss: 0.020713 | Physics: 0.019225 | Curl: 0.014883 | Energy: 2.691171 | Time: 0.95s | Elapsed: 1.80h
Epoch  34000 | Loss: 0.024596 | Physics: 0.023127 | Curl: 0.014689 | Energy: 2.691021 | Time: 0.93s | Elapsed: 1.82h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_034000.pt
Epoch  34100 | Loss: 0.023493 | Physics: 0.022019 | Curl: 0.014735 | Energy: 2.690873 | Time: 0.94s | Elapsed: 1.85h
Epoch  34200 | Loss: 0.017110 | Physics: 0.015624 | Curl: 0.014855 | Energy: 2.690705 | Time: 0.94s | Elapsed: 1.88h
Epoch  34300 | Loss: 0.015580 | Physics: 0.014109 | Curl: 0.014710 | Energy: 2.690529 | Time: 0.94s | Elapsed: 1.90h
Epoch  34400 | Loss: 0.030257 | Physics: 0.028593 | Curl: 0.016643 | Energy: 2.690349 | Time: 0.94s | Elapsed: 1.93h
Epoch  34500 | Loss: 0.017491 | Physics: 0.016070 | Curl: 0.014210 | Energy: 2.690247 | Time: 0.94s | Elapsed: 1.95h
Epoch  34600 | Loss: 0.024439 | Physics: 0.022986 | Curl: 0.014530 | Energy: 2.690145 | Time: 0.94s | Elapsed: 1.98h
Epoch  34700 | Loss: 0.023790 | Physics: 0.022335 | Curl: 0.014549 | Energy: 2.690004 | Time: 0.95s | Elapsed: 2.01h
Epoch  34800 | Loss: 0.020317 | Physics: 0.018882 | Curl: 0.014345 | Energy: 2.689861 | Time: 0.94s | Elapsed: 2.03h
Epoch  34900 | Loss: 0.019402 | Physics: 0.017967 | Curl: 0.014344 | Energy: 2.689717 | Time: 0.95s | Elapsed: 2.06h
Epoch  35000 | Loss: 0.021183 | Physics: 0.019738 | Curl: 0.014451 | Energy: 2.689572 | Time: 0.93s | Elapsed: 2.08h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_035000.pt
Epoch  35100 | Loss: 0.018651 | Physics: 0.017164 | Curl: 0.014878 | Energy: 2.689413 | Time: 0.93s | Elapsed: 2.11h
Epoch  35200 | Loss: 0.015112 | Physics: 0.013617 | Curl: 0.014951 | Energy: 2.689258 | Time: 0.94s | Elapsed: 2.14h
Epoch  35300 | Loss: 0.012543 | Physics: 0.011120 | Curl: 0.014236 | Energy: 2.689096 | Time: 0.94s | Elapsed: 2.16h
Epoch  35400 | Loss: 0.012980 | Physics: 0.011579 | Curl: 0.014004 | Energy: 2.688982 | Time: 0.94s | Elapsed: 2.19h
Epoch  35500 | Loss: 0.024251 | Physics: 0.022870 | Curl: 0.013805 | Energy: 2.688795 | Time: 0.93s | Elapsed: 2.21h
Epoch  35600 | Loss: 0.022482 | Physics: 0.021104 | Curl: 0.013772 | Energy: 2.688682 | Time: 0.94s | Elapsed: 2.24h
Epoch  35700 | Loss: 0.020286 | Physics: 0.018919 | Curl: 0.013666 | Energy: 2.688553 | Time: 0.93s | Elapsed: 2.27h
Epoch  35800 | Loss: 0.018827 | Physics: 0.017457 | Curl: 0.013706 | Energy: 2.688415 | Time: 0.94s | Elapsed: 2.29h
Epoch  35900 | Loss: 0.019497 | Physics: 0.018149 | Curl: 0.013480 | Energy: 2.688275 | Time: 0.93s | Elapsed: 2.32h
Epoch  36000 | Loss: 0.018179 | Physics: 0.016832 | Curl: 0.013472 | Energy: 2.688134 | Time: 0.94s | Elapsed: 2.35h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_036000.pt
Epoch  36100 | Loss: 0.017072 | Physics: 0.015711 | Curl: 0.013609 | Energy: 2.687992 | Time: 0.93s | Elapsed: 2.37h
Epoch  36200 | Loss: 0.015789 | Physics: 0.014416 | Curl: 0.013729 | Energy: 2.687850 | Time: 0.93s | Elapsed: 2.40h
Epoch  36300 | Loss: 0.013334 | Physics: 0.011949 | Curl: 0.013850 | Energy: 2.687687 | Time: 0.94s | Elapsed: 2.42h
Epoch  36400 | Loss: 0.017023 | Physics: 0.015646 | Curl: 0.013773 | Energy: 2.687516 | Time: 0.94s | Elapsed: 2.45h
Epoch  36500 | Loss: 0.017835 | Physics: 0.016459 | Curl: 0.013763 | Energy: 2.687434 | Time: 0.94s | Elapsed: 2.48h
Epoch  36600 | Loss: 0.013440 | Physics: 0.012083 | Curl: 0.013570 | Energy: 2.687347 | Time: 0.94s | Elapsed: 2.50h
Epoch  36700 | Loss: 0.011731 | Physics: 0.010383 | Curl: 0.013480 | Energy: 2.687173 | Time: 0.93s | Elapsed: 2.53h
Epoch  36800 | Loss: 0.009746 | Physics: 0.008405 | Curl: 0.013415 | Energy: 2.686972 | Time: 0.94s | Elapsed: 2.55h
Epoch  36900 | Loss: 0.019666 | Physics: 0.018310 | Curl: 0.013556 | Energy: 2.686868 | Time: 0.94s | Elapsed: 2.58h
Epoch  37000 | Loss: 0.019177 | Physics: 0.017835 | Curl: 0.013426 | Energy: 2.686737 | Time: 0.94s | Elapsed: 2.61h
  -> Saved checkpoint: /home/trainer/checkpoints/checkpoint_epoch_037000.pt
Epoch  37100 | Loss: 0.018432 | Physics: 0.017096 | Curl: 0.013360 | Energy: 2.686592 | Time: 0.94s | Elapsed: 2.63h
Epoch  37200 | Loss: 0.015852 | Physics: 0.014511 | Curl: 0.013411 | Energy: 2.686443 | Time: 0.93s | Elapsed: 2.66h
Epoch  37300 | Loss: 0.016139 | Physics: 0.014795 | Curl: 0.013446 | Energy: 2.686297 | Time: 0.93s | Elapsed: 2.68h
Epoch  37400 | Loss: 0.014801 | Physics: 0.013470 | Curl: 0.013315 | Energy: 2.686150 | Time: 0.94s | Elapsed: 2.71h
Epoch  37500 | Loss: 0.014875 | Physics: 0.013549 | Curl: 0.013254 | Energy: 2.686003 | Time: 0.94s | Elapsed: 2.74h
Epoch  37600 | Loss: 0.014668 | Physics: 0.013333 | Curl: 0.013350 | Energy: 2.685858 | Time: 0.94s | Elapsed: 2.76h
Epoch  37700 | Loss: 0.013265 | Physics: 0.011897 | Curl: 0.013684 | Energy: 2.685707 | Time: 0.94s | Elapsed: 2.79h
